39181.435509,39181.484132
39181.998032,39182.024340
39183.077882,39183.115162
39184.163947,39184.179456
39184.280706,39184.286134
39184.348657,39184.394711
39211.435428,39211.488796
39212.042176,39212.081458
39212.518900,39212.544225
39213.439688,39213.503646
39214.200648,39214.205799
39215.059549,39215.084514
39215.357708,39215.392326
39216.031458,39216.088449
39216.479745,39216.530312
39217.018634,39217.071933
39217.443831,39217.484653
39218.026817,39218.076609
39218.666667,39219.122766
39219.515347,39219.547500
39220.009167,39220.060220
39220.350417,39220.409595
39221.052697,39221.120521
39221.188981,39221.213322
39222.129398,39222.149444
39222.260938,39222.264398
39222.999815,39223.060972
39223.443831,39223.480116
39224.000081,39224.049502
39224.489329,39224.525255
39224.994861,39225.051863
39330.463229,39330.472199
39330.549109,39330.620104
39332.030093,39332.065799
39332.272303,39332.274630
39333.034282,39333.040313
39333.197130,39333.213866
39333.267083,39333.289387
39333.307650,39333.420150
39552.423380,39552.462419
39552.987951,39553.600880
39553.982604,39554.026238
39555.001007,39555.070822
39556.004005,39556.020023
39567.968600,39568.040856
39569.022407,39569.209572
39569.296065,39569.546181
39572.968854,39573.011169
39573.977986,39574.023241
39575.051354,39575.091134
39575.425185,39575.471354
39575.967118,39576.024919
39576.425567,39576.469155
39576.964907,39577.002512
39580.010868,39580.016921
39580.980637,39581.028356
39581.422616,39581.471319
39581.969803,39582.018137
39582.421262,39582.484769
39582.956644,39582.993611
39583.429028,39583.475718
39583.977269,39584.021562
39588.957523,39589.000370
39589.426852,39589.474282
39589.968519,39590.007292
39590.966447,39591.024873
39593.969039,39594.022662
39595.951748,39595.990833
39596.382326,39596.422477
39596.963970,39597.006713
39597.425035,39597.467604
39597.965463,39598.009549
39598.379306,39598.432431
39600.960729,39601.001227
39601.574757,39601.591597
39601.956134,39602.468206
39602.964317,39603.455845
39603.952535,39604.467280
39604.953009,39605.479884
39608.952187,39609.597940
39609.965046,39610.469051
39610.969132,39611.293079
39614.956331,39615.001921
39616.472535,39616.476852
39616.960150,39617.000289
39617.423796,39617.452211
39617.953206,39617.987986
39618.415382,39618.463252
39618.959387,39618.992384
39619.420312,39619.468206
39621.956065,39621.991933
39622.438229,39622.446667
39622.571574,39622.597419
39623.103438,39623.128183
39623.430023,39623.471470
39623.960498,39623.994664
39624.421609,39624.463750
39625.071887,39625.103368
39625.433299,39625.490914
39625.950174,39625.982280
39626.526470,39626.536053
39627.471840,39627.576725
39628.966157,39629.047222
39629.538484,39629.567894
39630.130243,39630.154687
39630.954942,39630.988449
39631.525718,39631.533762
39631.955556,39631.991088
39633.128924,39633.157037
39633.579294,39633.612616
39635.961123,39636.008507
39636.436597,39636.450521
39636.568692,39636.594664
39636.958345,39636.991331
39637.540370,39637.565856
39637.960498,39637.990752
39638.964525,39639.005324
39639.544456,39639.560567
39639.954120,39639.986678
39640.543449,39640.571343
39642.113275,39642.137766
39642.493588,39642.511065
39642.956701,39642.993310
39644.132743,39644.161644
39644.558588,39644.569560
39644.972685,39645.017164
39645.957014,39645.984907
39646.567060,39646.581250
39647.104005,39647.148530
39649.473692,39649.511319
